wafer_id,mean,sd_within,standard_error,worst_site,shift_drop_worst,p_value,flagged
wf0001,592.9483076923077,6.626980627010266,1.8379937270916933,3,1.1440576923076833,0.9987092337605874,False
wf0002,598.4083846153845,6.43427923363684,1.784547976733136,3,-0.8182820512820399,0.9990420286783245,False
wf0003,599.4508461538461,8.63787226738694,2.3957147208440004,12,1.3316794871793718,0.9842010933650048,False
wf0004,611.9996923076923,8.492743798724264,2.3554633258214737,12,-1.578057692307766,0.986389799041577,False
wf0005,598.7961538461539,7.545122440426371,2.092640449123944,4,-1.122179487179551,0.9954076724733735,False
wf0006,590.9090769230769,9.431080253268433,2.615711033551942,7,1.6273269230767937,0.9667691448510726,False
wf0007,611.7203846153845,8.529309541598924,2.365604838195321,2,1.6998012820512258,0.9858630070093523,False
wf0008,593.3663846153846,8.886892394030482,2.4647804774006024,8,-1.412615384615492,0.9797923872832965,False
wf0009,571.7440769230769,7.948926305499149,2.2046354907201318,5,-1.073006410256312,0.9925186704152289,False
wf0010,651.4145384615384,19.282706598639912,5.34806056700954,1,2.8432884615384637,0.07259558414387071,False
wf0011,632.1896923076923,30.10407231141277,8.349367409159576,7,4.7899423076923995,3.049848805887859e-06,True
wf0012,592.5613846153847,8.527023479683699,2.364970798698842,4,-1.174865384615373,0.985896417924804,False
wf0013,604.5205384615384,10.45792632898914,2.9005068933996334,11,-1.3191282051282087,0.9258212236904695,False
wf0014,609.0474615384616,6.224786376727906,1.7264451123155513,4,0.9467948717948502,0.9993169015382619,False
wf0015,632.1997692307692,6.8551687817034175,1.9012817341839754,7,1.2725192307691486,0.9981902026808168,False
wf0016,558.7783076923077,7.246172039826905,2.0097265261868764,4,-0.9970256410256297,0.9968831402702388,False
wf0017,597.640846153846,8.615961542839669,2.389637779241096,11,-1.5788205128204709,0.9845485908873299,False
wf0018,616.9673076923077,5.777372836976695,1.6023549231686407,7,-0.9301923076922094,0.999685382631649,False
wf0019,577.695076923077,12.650706195449711,3.5086746045018384,2,-2.382173076923209,0.7459774435939035,False
wf0020,599.2213846153846,7.311714510957296,2.027904736985434,5,0.9653012820512004,0.9965999090033592,False
wf0021,604.8384615384616,6.198690179053766,1.7192073293302623,5,1.1379615384615818,0.9993457771002024,False
wf0022,600.5995384615384,7.643283812334674,2.1198655152535806,6,1.3816217948717622,0.9948103834984342,False
wf0023,592.1741538461539,7.424145044449602,2.0590873564803784,4,-1.4350961538461888,0.996063269213005,False
wf0024,631.0653076923077,8.892867585736099,2.4664376974063966,3,1.406557692307615,0.9796756954064826,False
wf0025,599.7312307692307,9.882282994951504,2.7408521582264225,5,-1.5907692307692969,0.9517254429939033,False
wf0026,623.8286923076923,10.610473688645376,2.9428159185671103,7,1.40760897435905,0.9175593469002372,False
wf0027,608.3526153846154,7.771309333465643,2.1553734061001735,8,1.1052820512821881,0.9939347560054711,False
wf0028,608.7561538461539,17.551716506019932,4.867970294989425,11,3.047820512820522,0.17626496790499943,False
wf0029,607.979076923077,11.350088835640154,3.147948252151688,3,1.7554102564104141,0.8685175892058834,False
wf0030,628.6480769230769,11.13426467008889,3.0880893986609714,6,1.6826602564102586,0.8844007987716996,False
wf0031,616.0196923076921,9.54601714839419,2.64758879269183,8,-1.6899743589744958,0.9633347775581649,False
wf0032,598.5718461538462,18.477031128070653,5.124606396200229,4,-4.194820512820456,0.11252623674358378,False
wf0033,622.4716923076924,13.095250579151559,3.631969032936958,6,-1.5343076923076069,0.6948499621132085,False
wf0034,665.9782307692308,8.665358918839296,2.4033381463210985,11,1.3628974358974801,0.9837562960748416,False
wf0035,582.8232307692308,7.118572002794847,1.974336643396862,11,-1.1566025641026272,0.9973774285000819,False
wf0036,612.0922307692307,11.414931954490182,3.165932497526671,2,-1.9053525641026,0.8634895634529983,False
wf0037,614.7836923076923,7.7971295079729614,2.162534634033063,1,0.9309423076923622,0.9937440017133807,False
wf0038,610.7202307692307,8.123454459709494,2.2530408914137845,9,1.6964807692307886,0.9908704369881297,False
wf0039,633.5293846153846,10.768401440777705,2.9866171961157164,13,1.6666346153846234,0.9083533478747823,False
wf0040,609.2707692307692,7.982942744312683,2.2140699533625074,9,-1.3022307692307322,0.9922184166437251,False
wf0041,627.9043076923077,11.096133804052489,3.077513799224657,8,-1.9521923076922576,0.8870709626380385,False
wf0042,630.5824615384615,9.176232048208266,2.545028858874681,8,1.4486282051281023,0.9734982720182311,False
wf0043,595.7985384615384,9.650175323237955,2.6764770727039786,2,1.8612884615383791,0.9599941716581829,False
wf0044,592.7881538461538,15.356316234946874,4.259075814410852,2,2.798737179487148,0.40594297076020225,False
wf0045,650.9388461538462,6.10517556185124,1.6932710410741783,7,1.3434294871794918,0.9994407047731304,False
wf0046,610.0753076923077,13.58369448017619,3.7674389968086475,13,2.657557692307705,0.6347770819048735,False
wf0047,615.856846153846,10.142349397831454,2.8129816005809714,2,1.7316794871794627,0.941018507113196,False
wf0048,646.2415384615384,9.672423296976682,2.6826475504032214,6,-1.4401282051283033,0.9592516390734253,False
wf0049,625.0783846153846,8.580291540680722,2.379744700642635,6,-1.1871987179487178,0.9851011087562896,False
wf0050,602.3787692307693,10.991963899093488,3.048622265863896,9,-1.5199807692306422,0.894158350182745,False
wf0051,608.6020000000001,7.833886253535561,2.1727291210211503,7,1.464583333333394,0.9934638430661109,False
wf0052,636.8585384615385,11.048698200960024,3.0643575300529307,9,1.6733717948717413,0.8903358955543013,False
wf0053,631.776,20.447138218668496,5.671015791069898,11,-3.487250000000131,0.03563401071253789,False
