wafer_id,sd_within,baseline,limit,exceeded
wf0001,6.597330148608872,,,False
wf0002,7.938279429932675,,,False
wf0003,6.400931031037787,,,False
wf0004,7.301619952852751,,,False
wf0005,7.989465037769643,,,False
wf0006,10.403149808394451,,,False
wf0007,18.534689829531104,,,False
wf0008,13.194107397836406,,,False
wf0009,11.592318499433473,,,False
wf0010,6.074174105514489,,,False
wf0011,55.04102269904158,,,False
wf0012,24.355938767446226,,,False
wf0013,9.368620438627927,,,False
wf0014,13.489897682130835,,,False
wf0015,8.089767679146545,,,False
wf0016,7.383836918636939,,,False
wf0017,7.5273285561550605,,,False
wf0018,6.402420121349144,,,False
wf0019,8.571514917116987,,,False
wf0020,12.737303447063033,,,False
wf0021,10.15996814299468,16.44320751420258,27.23055502086387,False
wf0022,7.2395242919931455,16.19936274432869,26.826739134160157,False
wf0023,7.948004456046407,15.901996918259824,26.334290414462444,False
wf0024,5.616408759961687,15.640510258796494,25.901258911236084,False
wf0025,18.497757527984376,15.35406020397631,25.42688710927633,False
wf0026,17.156316145732085,15.49206117661559,25.655421783861005,False
wf0027,8.143597675632316,15.559362963022899,25.76687601176537,False
wf0028,8.015833052505588,15.348731826362327,25.41806312042475,False
wf0029,8.532312791037537,15.148090324974621,25.085793431661923,False
wf0030,10.601635490664789,14.968714840586008,24.78874104739813,False
wf0031,13.745845204913234,14.843859527833429,24.581976067960895,False
wf0032,7.5473207344878706,14.809710448759487,24.525423939926775,False
wf0033,5.331266260082811,14.63740422804728,24.24007851571509,False
wf0034,5.47737471857571,14.443765228348163,23.919405226702743,False
wf0035,5.701181354187331,14.260743437092689,23.61631442446756,False
wf0036,6.40463956230769,14.088539196002166,23.331137882251493,False
wf0037,5.858448310138444,13.932438360040894,23.072629169837885,False
wf0038,6.431353017913543,13.776579821341889,22.814521710581598,False
wf0039,8.239874317562773,13.634076802621586,22.57853148248585,False
wf0040,9.730621649838582,13.522669891363742,22.394037549407955,False
wf0041,49.51620273514209,13.440913693210492,22.258646285253086,True
wf0042,29.978467468013925,15.364022569087812,25.443385151466234,True
wf0043,13.402122994855374,15.869174432701875,26.27993517396966,False
wf0044,7.52857381188666,15.816172310689435,26.19216171502403,False
wf0045,9.590416670983428,15.676549949310544,25.960941961190304,False
wf0046,12.25444380518182,15.567174651029953,25.77981245375202,False
wf0047,20.76923454942985,15.502687768843495,25.673019810529244,False
wf0048,28.1324789185483,15.633225796938321,25.88919557509835,True
wf0049,8.171232475377662,15.993573295592359,26.485944255686007,False
wf0050,7.861596377490018,15.872514817346898,26.285466973515984,False
wf0051,7.571645940189596,15.752272408970402,26.08634113299434,False
wf0052,8.057859849797257,15.633068347955405,25.88893483380511,False
wf0053,6.160329173481004,15.522293663484264,25.70548789148532,False
wf0054,12.315742830798275,15.398427318281268,25.50036067859999,False
wf0055,8.83570431508376,15.34696882058659,25.41514351816729,False
wf0056,6.8152726707684295,15.25341099120674,25.260208319644736,False
wf0057,8.734719320193634,15.144015802598393,25.079045873093815,False
wf0058,5.99087833657051,15.0551054118599,24.93180700349737,False
wf0059,7.3791473631912545,14.945472134124506,24.750250272615467,False
wf0060,7.852702560265494,14.84938267272325,24.591122598568173,False
wf0061,17.84024584852734,14.7599744339195,24.443059274307306,False
wf0062,11.902523038932031,14.815634790698848,24.535234867569866,False
wf0063,8.813622149686022,14.773207627773894,24.46497392891728,False
