Date,Open,High,Low,Close,Adj Close,Volume
2019-09-13,123.190002,123.449997,122.330002,122.669998,118.520615,3107300
2019-09-16,122.059998,122.959999,121.400002,122.570000,118.424004,2294400
2019-09-17,121.720001,122.519997,121.059998,122.389999,118.250099,2007500
2019-09-18,119.120003,121.300003,118.720001,121.040001,116.945755,4116500
2019-09-19,120.610001,120.760002,118.900002,119.120003,115.090706,3733700
2019-09-20,119.830002,120.919998,119.269997,120.699997,116.617256,5308400
2019-09-23,119.800003,120.889999,118.910004,119.050003,115.023071,2999900
2019-09-24,119.220001,119.970001,117.430000,117.989998,113.998924,3160500
2019-09-25,118.230003,119.900002,117.949997,119.050003,115.023071,3203000
2019-09-26,119.000000,119.000000,117.660004,118.449997,114.443359,1999400
2019-09-27,119.000000,119.500000,118.330002,118.949997,114.926453,2456000
2019-09-30,119.309998,120.000000,118.989998,119.820000,115.767029,2639000
2019-10-01,120.250000,120.699997,114.849998,115.809998,111.892670,4295800
2019-10-02,114.889999,115.980003,114.339996,115.239998,111.341942,3903400
2019-10-03,115.400002,116.470001,114.010002,115.900002,111.979630,2936300
2019-10-04,116.139999,117.599998,115.930000,117.489998,113.515839,2321800
2019-10-07,116.699997,117.029999,115.430000,115.570000,111.660789,2775800
2019-10-08,114.410004,114.410004,112.440002,112.739998,108.926514,3373900
2019-10-09,114.000000,114.500000,113.150002,113.860001,110.008621,2553200
2019-10-10,114.040001,115.430000,113.820000,115.279999,111.380592,2209500
2019-10-11,116.879997,117.980003,115.889999,116.019997,112.095551,3083300
2019-10-14,115.940002,116.669998,115.510002,115.870003,111.950638,1960300
2019-10-15,116.089996,118.160004,115.830002,116.480003,112.540009,2616300
2019-10-16,116.150002,117.540001,116.150002,117.500000,113.525505,2260600
2019-10-17,117.809998,118.919998,117.669998,118.389999,114.385399,2197500
2019-10-18,118.440002,118.639999,117.029999,117.349998,113.380577,2720600
2019-10-21,117.699997,119.250000,117.599998,118.519997,114.510994,3251100
2019-10-22,115.830002,116.559998,111.779999,116.099998,112.172859,8275700
2019-10-23,115.400002,116.070000,114.660004,115.150002,111.254982,3644200
2019-10-24,114.800003,115.500000,113.419998,114.010002,110.153549,2969600
2019-10-25,114.000000,115.970001,113.870003,115.720001,111.805710,2704400
2019-10-28,116.080002,117.279999,115.980003,116.250000,112.317787,1730400
2019-10-29,116.639999,117.639999,116.300003,116.910004,112.955460,2867300
2019-10-30,116.870003,117.000000,115.080002,116.879997,112.926468,2417300
2019-10-31,116.040001,116.879997,114.510002,115.169998,111.274315,2954200
2019-11-01,116.459999,119.580002,116.110001,119.510002,115.467506,4171900
2019-11-04,120.000000,123.099998,120.000000,123.019997,118.858780,4230700
2019-11-05,123.320000,123.779999,121.279999,121.389999,117.283928,3117800
2019-11-06,121.379997,121.949997,120.739998,121.949997,117.824974,2820200
2019-11-07,122.349998,124.660004,122.019997,123.489998,119.312881,3156200
2019-11-08,123.519997,125.309998,123.510002,124.300003,120.095490,2310700
2019-11-11,123.410004,123.760002,122.739998,123.139999,118.974724,1318700
2019-11-12,123.000000,123.680000,122.620003,123.010002,118.849121,1555800
2019-11-13,122.620003,123.459999,122.029999,123.019997,118.858780,1613600
2019-11-14,122.739998,124.230003,122.739998,124.080002,119.882935,1580400
2019-11-15,123.540001,124.019997,123.050003,123.730003,120.476891,1891000
2019-11-18,123.529999,123.750000,122.559998,122.769997,119.542130,1772700
2019-11-19,123.459999,123.540001,120.230003,120.540001,117.370766,3642600
2019-11-20,120.199997,120.320000,118.830002,119.010002,115.880989,2904600
2019-11-21,118.790001,119.709999,118.699997,119.519997,116.377571,1994700
2019-11-22,119.959999,121.110001,119.059998,119.320000,116.182838,2597800
2019-11-25,119.839996,120.400002,119.250000,120.300003,117.137070,2460400
2019-11-26,120.370003,121.680000,119.910004,121.199997,118.013405,2872800
2019-11-27,121.440002,121.699997,119.750000,119.870003,116.718376,1862700
2019-11-29,120.019997,120.250000,119.620003,119.730003,116.582062,1372000
2019-12-02,120.089996,120.660004,118.150002,118.220001,115.111755,2438300
2019-12-03,116.830002,117.400002,115.720001,116.930000,113.855675,2037000
2019-12-04,117.220001,118.230003,116.379997,116.470001,113.407768,2202200
2019-12-05,116.080002,116.400002,114.250000,115.010002,111.986153,4889400
2019-12-06,116.000000,117.849998,116.000000,117.529999,114.439896,2762700
2019-12-09,117.000000,118.360001,116.559998,118.139999,115.033859,1974100
2019-12-10,118.129997,119.370003,117.820000,118.540001,115.423347,2438800
2019-12-11,118.540001,118.540001,116.760002,116.790001,113.719353,3354200
2019-12-12,115.180000,117.550003,114.779999,116.949997,113.875145,4320600
2019-12-13,118.029999,119.629997,117.800003,118.620003,115.501244,2968100
2019-12-16,119.120003,119.930000,118.739998,119.120003,115.988098,2978200
2019-12-17,120.029999,121.320000,119.550003,120.290001,117.127327,2804800
2019-12-18,118.540001,118.750000,117.050003,117.949997,114.848854,4957500
2019-12-19,118.360001,119.559998,118.269997,118.559998,115.442818,3201000
2019-12-20,119.889999,119.889999,117.330002,117.400002,114.313316,6945000
2019-12-23,118.230003,119.419998,117.559998,118.940002,115.812828,2047500
2019-12-24,117.430000,118.360001,117.339996,118.330002,115.218872,872000
2019-12-26,119.089996,119.230003,118.599998,119.040001,115.910202,1274600
2019-12-27,119.449997,119.489998,118.570000,118.940002,115.812828,1419500
2019-12-30,119.220001,119.220001,116.250000,116.440002,113.378555,2430700
2019-12-31,116.040001,117.089996,115.570000,117.059998,113.982254,2875100
2020-01-02,117.680000,117.970001,115.230003,116.790001,113.719353,4158100
2020-01-03,114.970001,116.860001,114.839996,116.720001,113.651199,2477800
2020-01-06,115.449997,116.230003,114.370003,116.199997,113.144867,3381600
2020-01-07,115.860001,116.440002,115.070000,116.000000,112.950119,1952300
2020-01-08,115.379997,117.559998,115.320000,116.660004,113.592773,2016000
2020-01-09,117.029999,117.830002,116.379997,116.930000,113.855675,2151500
2020-01-10,117.070000,117.070000,115.599998,115.870003,112.823547,2545000
2020-01-13,116.120003,117.220001,115.900002,116.750000,113.680405,1826200
2020-01-14,116.750000,118.180000,116.690002,117.269997,114.186737,2598600
2020-01-15,117.510002,118.699997,117.269997,117.930000,114.829384,3168400
2020-01-16,118.510002,119.110001,118.099998,118.610001,115.491508,2426800
2020-01-17,118.739998,119.239998,118.169998,118.599998,115.481766,3403400
2020-01-21,118.209999,118.540001,116.750000,117.389999,114.303581,2960700
2020-01-22,117.790001,119.239998,117.250000,117.260002,114.177002,2425300
2020-01-23,117.029999,117.120003,115.550003,116.930000,113.855675,2493700
2020-01-24,117.040001,117.110001,115.930000,116.660004,113.592773,2015400
2020-01-27,114.949997,115.449997,113.349998,114.919998,111.898514,2903800
2020-01-28,115.449997,116.360001,114.440002,115.370003,112.336685,2039600
2020-01-29,115.760002,116.989998,115.330002,115.760002,112.716438,2845400
2020-01-30,112.260002,113.070000,107.339996,108.000000,105.160461,9473000
2020-01-31,107.839996,107.900002,103.089996,103.519997,100.798248,7234300
2020-02-03,104.160004,104.480003,101.660004,102.029999,99.347427,5627100
2020-02-04,103.339996,103.860001,102.620003,103.379997,100.661926,4858700
2020-02-05,104.629997,106.589996,104.339996,106.040001,103.251991,4439900
2020-02-06,106.599998,107.790001,105.500000,106.510002,103.709633,3861800
2020-02-07,106.050003,106.370003,103.000000,103.120003,100.408768,5754400
2020-02-10,103.400002,103.750000,101.629997,103.070000,100.360077,4669400
2020-02-11,103.419998,105.449997,103.220001,104.870003,102.112762,2806300
2020-02-12,105.769997,106.769997,105.489998,105.540001,102.765144,2493300
2020-02-13,104.989998,106.129997,104.370003,105.239998,102.473030,2768300
2020-02-14,104.989998,106.190002,104.680000,105.949997,103.164360,2694600
2020-02-18,105.949997,106.919998,105.699997,106.419998,103.621994,3371600
2020-02-19,106.980003,106.980003,105.949997,106.760002,103.953064,2663200
2020-02-20,106.480003,107.610001,105.949997,106.480003,103.680435,3171200
2020-02-21,105.620003,105.730003,102.750000,102.940002,100.233505,6034600
2020-02-24,99.760002,100.139999,97.620003,98.489998,96.850746,7300400
2020-02-25,99.070000,99.220001,93.220001,93.900002,92.337143,7609100
2020-02-26,95.080002,95.389999,93.180000,93.730003,92.169983,7411700
2020-02-27,91.510002,93.139999,89.889999,90.239998,88.738068,9143800
2020-02-28,88.629997,91.349998,87.669998,90.489998,88.983894,11517400
2020-03-02,92.050003,93.139999,89.410004,92.750000,91.206291,8738800
2020-03-03,94.860001,96.000000,90.570000,91.300003,89.780418,9263400
2020-03-04,92.290001,95.879997,91.430000,95.820000,94.225189,6644800
2020-03-05,92.779999,94.250000,91.940002,92.989998,91.442291,5277200
2020-03-06,90.269997,94.480003,90.139999,94.000000,92.435478,5598400
2020-03-09,88.440002,92.000000,87.099998,87.180000,85.728989,8648300
2020-03-10,90.480003,92.949997,87.190002,92.820000,91.275124,8914200
2020-03-11,89.820000,91.169998,87.309998,87.989998,86.525505,5557200
2020-03-12,82.220001,92.440002,82.000000,86.169998,84.735802,9412800
2020-03-13,91.000000,94.599998,87.510002,94.230003,92.661652,10916100
2020-03-16,85.860001,94.209999,85.500000,87.059998,85.610992,9006300
2020-03-17,89.050003,97.209999,87.790001,96.790001,95.179047,10476100
2020-03-18,91.000000,101.849998,90.309998,99.260002,97.607941,11152100
2020-03-19,98.669998,103.800003,95.459999,96.250000,94.648033,7690300
2020-03-20,96.150002,97.730003,90.910004,93.459999,91.904472,7355300
2020-03-23,94.180000,96.129997,90.250000,91.900002,90.370438,7117800
2020-03-24,93.930000,96.690002,92.160004,95.260002,93.674515,6067100
2020-03-25,95.629997,97.790001,91.050003,94.500000,92.927162,5682000
2020-03-26,94.500000,100.029999,93.529999,99.779999,98.119278,6373900
2020-03-27,95.599998,99.550003,95.000000,97.519997,95.896896,4671100
2020-03-30,98.129997,98.809998,95.910004,97.839996,96.211563,3994200
2020-03-31,96.910004,97.309998,93.160004,93.419998,91.865128,5391300
2020-04-01,90.910004,92.879997,89.080002,90.389999,88.885559,5762800
2020-04-02,89.760002,93.559998,88.349998,93.040001,91.491455,4039900
2020-04-03,92.169998,93.400002,88.820000,90.000000,88.502060,4471900
2020-04-06,93.209999,96.480003,92.419998,95.680000,94.087524,5642700
2020-04-07,96.250000,97.449997,92.690002,92.910004,91.363625,5113900
2020-04-08,97.000000,99.500000,93.760002,98.790001,97.145760,6628400
2020-04-09,98.580002,100.029999,96.120003,98.690002,97.047424,5588500
2020-04-13,98.580002,100.250000,98.190002,98.419998,96.781914,3355100
2020-04-14,100.559998,101.830002,99.559998,101.400002,99.712318,4093100
2020-04-15,99.940002,99.980003,97.940002,99.919998,98.256950,3721200
2020-04-16,100.180000,102.489998,99.599998,102.220001,100.518677,4303400
2020-04-17,102.160004,103.750000,99.830002,102.750000,101.039848,5850100
2020-04-20,101.739998,103.000000,101.050003,101.199997,99.515640,4359500
2020-04-21,100.360001,102.110001,100.250000,100.620003,98.945297,3793800
2020-04-22,101.500000,101.769997,97.379997,97.610001,95.985397,5105200
2020-04-23,98.360001,100.239998,98.059998,99.449997,97.794769,4061800
2020-04-24,100.190002,100.449997,98.589996,100.180000,98.512627,2794000
2020-04-27,101.000000,103.489998,99.800003,102.550003,100.843185,4362300
2020-04-28,99.250000,99.320000,96.180000,96.430000,94.825043,10400900
2020-04-29,96.099998,97.150002,94.110001,96.110001,94.510368,9974000
2020-04-30,95.599998,95.739998,92.820000,94.660004,93.084496,6262500
2020-05-01,93.230003,93.709999,91.250000,91.900002,90.370438,5415600
2020-05-04,91.610001,91.800003,89.599998,90.440002,88.934731,4784400
2020-05-05,91.529999,93.849998,91.400002,92.709999,91.166946,5001000
2020-05-06,93.139999,94.430000,92.699997,92.930000,91.383293,3630300
2020-05-07,93.989998,94.269997,92.449997,92.830002,91.284958,3309800
2020-05-08,93.540001,94.980003,93.309998,94.830002,93.251671,3418900
2020-05-11,94.209999,94.860001,93.099998,93.910004,92.346985,3118400
