p,least squares,ridge,lasso,random subspace
10,1.0960545567458433,1.0839338324834351,1.0592867651989413,1.7831013100912685
30,1.1669389596282358,1.1434198938742426,1.0716066841434153,2.096235994633493
60,1.8979514915255453,1.760776139152243,1.2052878890519731,2.826145947786956
90,6.764669793099911,1.5896323201055995,1.1041360652906034,2.4299456693653005
200,2.225904120814921,2.1653570183682223,1.1410756218025464,2.4614643232085536
500,2.6948884860316626,2.6948884363934327,1.1768834409736222,2.8444130446197518
1000,2.5065035288821798,2.503948580217742,1.324016910871469,2.5496937378511593
