shift_sigma,n_1,n_4,n_5,n_9
0.0,370.3983473449592,370.3983473449592,370.3983473449592,370.3983473449592
0.5,155.2242007526254,43.89468171853957,33.4007792735582,14.967685005613903
1.0,43.89468171853957,6.302962987143028,4.495312226614423,1.9999999960536492
1.5,14.967685005613903,1.9999999960536492,1.5664926818995997,1.0715899237110074
2.0,6.302962987143028,1.188573417343252,1.0758380673575416,1.0013517227194684
2.5,3.2410965050871763,1.0232797493168575,1.004819544691831,1.000003397684669
3.0,1.9999999960536492,1.0013517227194684,1.000104378156373,1.0000000009865877
